algorithm,scenario,trial,duration_seconds,seed,completion_rate,crash_rate,jobs_completed,jobs_crashed,avg_utilization,max_utilization,avg_remote_fraction,remote_job_fraction,avg_exec_time_us,p99_exec_time_us,avg_stranded_memory_gb
Balanced Borrow (Invention),8N_50pct_Frag,38,0.008577108383178711,630,0.9375,0.0,90.0,0.0,0.6081899143315654,0.9153304701894813,0.03451632012465275,0.07777777777777778,1000.7111111111111,1634.9099999999999,0.7977927194558886
Balanced Borrow (Invention),8N_50pct_Frag,39,0.008553028106689453,631,0.9666666666666667,0.0,87.0,0.0,0.6049991583625531,0.8756087224722263,0.03701347911262726,0.09195402298850575,1023.5747126436781,1690.98,1.4889575600024108
Balanced Borrow (Invention),8N_50pct_Frag,40,0.008736133575439453,632,1.0,0.0,94.0,0.0,0.6170829330227302,0.8569941273499042,0.03851040142370643,0.07446808510638298,1067.9893617021276,1700.9599999999937,3.0633732376205725
Balanced Borrow (Invention),8N_50pct_Frag,41,0.008845090866088867,633,1.0,0.0,100.0,0.0,0.617977024173536,0.937635928627921,0.03990362002489773,0.1,1043.24,1558.6500000000008,1.739285971893873
Balanced Borrow (Invention),8N_50pct_Frag,42,0.008589744567871094,634,0.9882352941176471,0.0,84.0,0.0,0.6041451067645448,0.8493493567658702,0.02087503550020406,0.10714285714285714,1024.9642857142858,1478.85,1.0001955328878305
Balanced Borrow (Invention),8N_50pct_Frag,43,0.008919000625610352,635,0.978494623655914,0.0,91.0,0.0,0.6087844825594394,0.8898602501677705,0.07398846297672361,0.12087912087912088,1035.2087912087911,1892.1999999999985,1.0862398497235521
Balanced Borrow (Invention),8N_50pct_Frag,44,0.008792877197265625,636,0.9578947368421052,0.0,91.0,0.0,0.6124693183368297,0.8641229990385009,0.05250857270028439,0.12087912087912088,1054.7472527472528,2163.2999999999975,2.0704615599978187
Balanced Borrow (Invention),8N_50pct_Frag,45,0.008729696273803711,637,0.98,0.0,98.0,0.0,0.6155461820192029,0.9270195267514882,0.0538743780331861,0.10204081632653061,1025.0102040816328,2041.9700000000003,0.9234155302714171
Balanced Borrow (Invention),8N_50pct_Frag,46,0.008688926696777344,638,1.0,0.0,100.0,0.0,0.6232681305736678,0.9283586459633741,0.046528682212831046,0.11,1048.36,1874.5800000000004,3.5664119817862185
Balanced Borrow (Invention),8N_50pct_Frag,47,0.008384943008422852,639,0.9777777777777777,0.0,88.0,0.0,0.6025449963573964,0.8026578183147279,0.05251616562946249,0.09090909090909091,1055.4431818181818,1909.9499999999994,2.127764826356749
Balanced Borrow (Invention),8N_50pct_Frag,48,0.008667230606079102,640,0.9550561797752809,0.0,85.0,0.0,0.6017859781550061,0.849995761367954,0.05121192804910034,0.08235294117647059,1056.2117647058824,1919.1599999999996,1.9349336367993137
Balanced Borrow (Invention),8N_50pct_Frag,49,0.008723258972167969,641,0.9896907216494846,0.0,96.0,0.0,0.6128434915835035,0.9262931157465686,0.05207708356470773,0.07291666666666667,1031.6354166666667,2057.299999999999,2.5988111399726113
Balanced Borrow (Invention),8N_LargeJobs,0,0.0072269439697265625,642,1.0,0.0,50.0,0.0,0.3813485353427566,0.7396462235868791,0.0846329322657369,0.12,1102.8,2398.2799999999993,8.479402315002186
Balanced Borrow (Invention),8N_LargeJobs,1,0.007239818572998047,643,1.0,0.0,50.0,0.0,0.3858576564515,0.7587996105459994,0.06200015392910166,0.16,1111.42,2434.73,2.737358547985447
Balanced Borrow (Invention),8N_LargeJobs,2,0.007348060607910156,644,1.0,0.0,50.0,0.0,0.37972485860371696,0.7804517637643466,0.09455296237439043,0.2,1095.86,2078.2999999999993,3.2107132259547657
Balanced Borrow (Invention),8N_LargeJobs,3,0.007070064544677734,645,1.0,0.0,50.0,0.0,0.38992871817474745,0.9222967948140823,0.023688653265419753,0.14,994.62,1509.1599999999999,3.224424240460918
Balanced Borrow (Invention),8N_LargeJobs,4,0.007340192794799805,646,1.0,0.0,50.0,0.0,0.38099984716252594,0.7362410568625538,0.0489739293824568,0.16,1038.26,1748.4999999999995,1.7869787918808664
Balanced Borrow (Invention),8N_LargeJobs,5,0.007275104522705078,647,1.0,0.0,50.0,0.0,0.38543277067145754,0.7596303628760797,0.07457237205602597,0.2,1062.86,1902.479999999999,2.2309541089163045
Balanced Borrow (Invention),8N_LargeJobs,6,0.007197141647338867,648,1.0,0.0,50.0,0.0,0.3862498526429722,0.9770442410363749,0.056649906319164084,0.12,1048.56,2189.38,3.0285060950250218
Balanced Borrow (Invention),8N_LargeJobs,7,0.007126569747924805,649,1.0,0.0,50.0,0.0,0.381278348469393,1.0203403253828995,0.07251713285534678,0.14,1060.12,2014.0599999999997,2.9650945647569595
Balanced Borrow (Invention),8N_LargeJobs,8,0.007048130035400391,650,1.0,0.0,50.0,0.0,0.38934166420796307,0.8618185631106149,0.019540385569905675,0.08,1039.54,1489.3599999999997,2.929506728612949
Balanced Borrow (Invention),8N_LargeJobs,9,0.007356166839599609,651,1.0,0.0,50.0,0.0,0.3858227156393619,0.7524658616192816,0.08812569558281985,0.18,1108.08,2520.7499999999977,4.5262199953907025
Balanced Borrow (Invention),8N_LargeJobs,10,0.007373809814453125,652,1.0,0.0,50.0,0.0,0.3783265467450891,0.8018303898446812,0.09684729439378063,0.18,1099.36,2342.3299999999995,4.7683488432598935
Balanced Borrow (Invention),8N_LargeJobs,11,0.007376194000244141,653,1.0,0.0,50.0,0.0,0.38113075036028793,0.8792561898909076,0.10164685309527717,0.26,1095.34,2642.489999999999,1.6479861341362774
Balanced Borrow (Invention),8N_LargeJobs,12,0.00745081901550293,654,1.0,0.0,50.0,0.0,0.3771844271268903,0.6986515177620072,0.1985693516478198,0.32,1211.16,2551.7699999999995,5.5618614896952145
Balanced Borrow (Invention),8N_LargeJobs,13,0.007339000701904297,655,1.0,0.0,50.0,0.0,0.3844826813176868,0.8014184674205853,0.06792205523883765,0.2,1046.06,2223.2599999999984,3.7120257043701437
Balanced Borrow (Invention),8N_LargeJobs,14,0.007255077362060547,656,1.0,0.0,50.0,0.0,0.3885485044123486,0.7700380127280888,0.02102451599771241,0.12,1017.9,1615.9499999999998,1.15758670334245
Balanced Borrow (Invention),8N_LargeJobs,15,0.007691860198974609,657,1.0,0.0,50.0,0.0,0.3854246862053436,0.9822708099683444,0.09320435455053072,0.2,1070.14,1838.03,3.718504809271543
Balanced Borrow (Invention),8N_LargeJobs,16,0.007239818572998047,658,1.0,0.0,50.0,0.0,0.3881165708559512,1.104426346465659,0.05803274558099579,0.16,1072.74,2016.1299999999985,5.3717701438845165
Balanced Borrow (Invention),8N_LargeJobs,17,0.007678985595703125,659,1.0,0.0,50.0,0.0,0.39030842247054975,0.7257358597245674,0.07086439538203061,0.18,1124.62,2206.0199999999986,2.2435960947539906
Balanced Borrow (Invention),8N_LargeJobs,18,0.007288932800292969,660,1.0,0.0,50.0,0.0,0.3840049243571433,0.7754339435458203,0.12422577736116626,0.28,1106.02,1860.6699999999998,2.52421516222705
Balanced Borrow (Invention),8N_LargeJobs,19,0.007228374481201172,661,1.0,0.0,50.0,0.0,0.38604634293121076,0.7765344087658775,0.05604231566988843,0.18,1057.78,2101.3699999999994,1.2657401295269342
Balanced Borrow (Invention),8N_LargeJobs,20,0.0072629451751708984,662,1.0,0.0,50.0,0.0,0.38718977686239064,0.8499183020375017,0.11927842211687065,0.26,1148.68,2050.25,3.1377287533032794
Balanced Borrow (Invention),8N_LargeJobs,21,0.0072557926177978516,663,1.0,0.0,50.0,0.0,0.386553220153158,0.7959690124883068,0.0808767072907829,0.2,1077.12,2240.709999999999,3.05169165289475
Balanced Borrow (Invention),8N_LargeJobs,22,0.007112979888916016,664,1.0,0.0,50.0,0.0,0.37976313665913447,1.0087804011953252,0.07865362696187324,0.18,1055.58,2290.399999999999,3.2098902573149
Balanced Borrow (Invention),8N_LargeJobs,23,0.007150888442993164,665,1.0,0.0,50.0,0.0,0.3841816595954267,0.9251838666588322,0.10388973321682717,0.22,1070.64,2200.8199999999993,5.4365786200954185
